LOWpdb	SD	HYDRO	MW	PI
4O51_1	0.39549663677152	-0.692307692307692	1700	6.35076923076923
5CHN_1	0.104505432511898	-0.376923076923077	1696	5.86538461538462
4KUC_1	0.955917151389441	-1.1	1779	5.96307692307692
2VC2_1	0.815947549265202	-1.35384615384615	1822	5.67
4UT6_1	0.000674579869252052	-0.138461538461539	1678	5.88538461538462
2R29_1	0.00448283217769088	-1.05384615384615	1812	5.72
1UWX_1	0.0327574287452484	-0.307692307692308	1577	5.66769230769231
3J2X_1	0.00291153749270596	-0.815384615384615	1739	6.13461538461539
4U1G_1	0.664500769192933	-0.669230769230769	1753	5.67923076923077
4LVH_1	0.239238070884074	-0.823076923076923	1692	6.01153846153846
3I02_1	0.00251588592746044	-0.684615384615385	1687	5.85692307692308
1FL5_1	0.511469528770044	-0.684615384615385	1687	5.85692307692308
1DBA_1	0.990152172842874	0.6	1532	5.67769230769231
1PKQ_1	0.167870685387594	-1.1	1778	6.16615384615385
3DIF_1	0.102405325371776	-0.815384615384615	1739	6.13461538461539
4FFZ_1	0.0134555349392011	-0.884615384615385	1751	6.16230769230769
4NNP_1	0.772963171252354	-0.446153846153846	1595	5.88307692307692
3IJH_1	0.460709558443976	-0.684615384615385	1687	5.85692307692308
4HIX_1	0.0443044824820222	-1.46153846153846	1651	6.22769230769231
4PY7_1	0.576331864259934	-0.246153846153846	1579	5.90769230769231
1YED_1	0.0956531627182308	-1.42307692307692	1805	6.52
4CNI_1	0.429393421302659	-0.169230769230769	1655	5.86769230769231
1P2C_1	0.252841585962439	-0.938461538461539	1832	6.22923076923077
1BVK_1	0.776048823508117	-0.623076923076923	1592	5.88461538461538
1NC2_1	0.834627395423202	-0.315384615384615	1616	5.38846153846154
1HIL_1	0.800655312209444	-0.884615384615385	1635	5.68076923076923
4F33_1	0.216028950834603	-1.13846153846154	1669	6.45230769230769
3HC0_1	0.0273063425690824	-1.16923076923077	1713	6.11153846153846
4OGX_1	0.310453818066391	-0.0384615384615385	1621	5.90923076923077
3V6O_1	0.40788888987321	-0.307692307692308	1576	5.87076923076923
1I7Z_1	0.200828932458695	-0.307692307692308	1577	5.66769230769231
3A6B_1	0.00304089159622724	-0.730769230769231	1768	5.89923076923077
3MLX_1	0.697579071271495	-1.03846153846154	1688	5.98461538461539
1CK0_1	0.270932698006967	-0.246153846153846	1579	5.90769230769231
3PIQ_1	0.887259195936704	-0.153846153846154	1593	6.17769230769231
3LS4_1	0.410490335721194	-0.153846153846154	1648	5.74307692307692
2LTQ_2	0.0136365542751851	-1.14615384615385	1735	5.46461538461538
1FPT_1	0.00163817947734601	-0.076923076923077	1659	5.81230769230769
4I9W_1	0.620634855621072	-1.26153846153846	1738	6.49615384615385
1MLB_1	0.918754173937188	-0.938461538461539	1832	6.22923076923077
3SM5_1	0.986238179752531	-0.869230769230769	1686	6.34230769230769
3L5X_1	0.642552312932313	-0.623076923076923	1592	5.88461538461539
1U6A_1	0.536124252607859	-0.684615384615385	1687	5.85692307692308
4UU9_1	0.904611604666886	-0.246153846153846	1579	5.90769230769231
1FAI_1	0.370081304496726	-0.223076923076923	1677	5.87230769230769
4HG4_1	0.905787267283312	-0.3	1648	6.21692307692308
3GK8_1	0.000837678538184297	-1.22307692307692	1763	5.70076923076923
1FSK_1	0.0654852368572491	-1.48461538461538	1810	6.06846153846154
1RZG_1	0.873417589014838	-0.607692307692308	1676	6.69153846153846
5CP7_1	0.628700371785256	-1.49230769230769	1681	6.20538461538461
3HI5_1	0.749781548143414	-0.146153846153846	1569	5.85230769230769
4HCR_1	0.266562285944579	-0.653846153846154	1606	6.21769230769231
3LHP_1	0.523333971396854	-0.530769230769231	1648	6.29846153846154
4RGN_2	0.0554795980518963	-0.453846153846154	1763	5.88
4G6F_1	0.713772925269362	-0.307692307692308	1716	6.64076923076923
4ZPT_1	0.777547826101337	-0.223076923076923	1721	5.43307692307692
