LOWpdb	SD	HYDRO	MW	PI
4QHM_1	0.680964982421025	0.0846153846153846	1713	5.85769230769231
3CMO_1	0.977372185344202	-0.892307692307692	1838	5.89384615384615
1JN6_1	0.31617178938751	-0.623076923076923	1692	5.71307692307692
1Q9K_1	0.659540461160634	-0.684615384615385	1687	5.85692307692308
1KFA_1	0.263028166252209	-0.430769230769231	1661	5.70538461538461
3DIF_1	0.102405325371776	-0.815384615384615	1739	6.13461538461539
2GFB_1	0.46591611079525	-1.05384615384615	1768	5.78769230769231
3CFD_1	0.225727643347022	-0.130769230769231	1666	5.57615384615385
1Q9O_1	0.402173375081777	-0.684615384615385	1687	5.85692307692308
1YUH_1	0.63185718463946	-0.646153846153846	1742	5.66230769230769
3MME_1	0.147361053199275	0.0153846153846153	1535	6.16615384615385
1AP2_1	0.892806456954978	-0.238461538461539	1711	5.99538461538461
1YED_1	0.0956531627182308	-1.42307692307692	1805	6.52
2XA8_1	0.524676039123427	-0.853846153846154	1638	5.83769230769231
1R24_1	0.96494124813094	-0.153846153846154	1709	5.40307692307692
4FQQ_2	0.344312919176725	-0.923076923076923	1714	6.15076923076923
3HZK_1	0.349505583249157	-0.684615384615385	1687	5.85692307692308
2G2R_1	0.61628527910417	-1.43076923076923	1791	6.65153846153846
1DBA_1	0.990152172842874	0.6	1532	5.67769230769231
2AJ3_1	0.879111036616536	-0.407692307692308	1727	6.25461538461538
1FL5_1	0.511469528770044	-0.684615384615385	1687	5.85692307692308
4ORG_3	0.643291101291243	-0.653846153846154	1606	6.21769230769231
1IND_1	0.798028692431862	-0.446153846153846	1727	5.26538461538462
1MJJ_1	0.955794551937286	-1.1	1778	6.16615384615385
1AJ7_1	0.159502076632253	-1.77692307692308	1945	5.83384615384615
3INU_1	0.212269920178297	-0.730769230769231	1664	6.27384615384615
2DQT_1	0.762069484181395	0.392307692307692	1620	5.70769230769231
3PIQ_1	0.887259195936704	-0.153846153846154	1593	6.17769230769231
1AD0_1	0.0250549145777812	-1.03846153846154	1661	5.83384615384615
4QHK_3	0.259081803306407	-0.892307692307692	1714	5.83615384615385
3IF1_1	0.13752873340688	-0.376923076923077	1750	5.67384615384615
1JGU_1	0.512223909650846	0.392307692307692	1620	5.70769230769231
4NCC_1	0.0560247773801914	-0.646153846153846	1724	5.86846153846154
1L7T_1	0.140000071607123	-0.684615384615385	1653	5.63692307692308
4ODV_1	0.940317210321246	-0.453846153846154	1827	5.40076923076923
4M61_1	0.179243790856198	-1.3	1706	6.12923076923077
3FO1_1	0.137380948089608	-0.623076923076923	1592	5.88461538461538
1FAI_1	0.370081304496726	-0.223076923076923	1677	5.87230769230769
1BFO_1	0.243785502027226	-0.576923076923077	1698	5.82230769230769
1BBJ_1	0.00155351359826355	-0.961538461538462	1750	5.89923076923077
1D5B_1	0.539518938511427	-1.44615384615385	1766	6.13692307692308
1LO0_1	0.457196486479245	-1.06153846153846	1637	5.86538461538461
2Z91_1	0.266251127254576	-1.63846153846154	1698	6.13692307692308
4QHL_1	0.579630984887798	-0.538461538461539	1756	5.83538461538461
3O2V_1	0.100276226853628	-0.0692307692307693	1595	5.61538461538461
4FQQ_1	0.82457913785185	-0.923076923076923	1714	6.15076923076923
1T4K_1	0.32801622919072	-0.807692307692308	1564	6.21923076923077
2O5X_1	0.394601651922966	-0.0692307692307694	1595	5.61538461538461
2YK1_1	0.847567886415005	-0.446153846153846	1664	5.86384615384615
4PTT_1	0.275803464467907	-0.784615384615385	1567	6.22846153846154
4LLW_1	0.721779246896168	-1.20769230769231	1749	6.61538461538461
1I9I_1	0.689519621324879	-0.684615384615385	1653	5.63692307692308
1NCW_1	0.767520297049329	-1.29230769230769	1665	6.23
4NYL_1	0.3979496973555	-0.246153846153846	1579	5.90769230769231
2V7N_1	0.704070715006668	-0.246153846153846	1579	5.90769230769231
2FL5_1	0.53068060103638	-0.623076923076923	1678	5.62230769230769
1D5I_1	0.927919258388356	-1.44615384615385	1766	6.13692307692308
2GJZ_1	0.215979893351983	-0.623076923076923	1592	5.88461538461539
1RZG_1	0.873417589014838	-0.607692307692308	1676	6.69153846153846
1Q72_1	0.517298929545287	-0.646153846153846	1724	5.86846153846154
2Q76_1	0.393415828275883	-0.938461538461539	1832	6.22923076923077
4C83_1	0.397353705940312	-1.22307692307692	1684	6.00769230769231
3I02_1	0.00251588592746044	-0.684615384615385	1687	5.85692307692308
1MH5_1	0.165177315658052	-1.1	1778	6.16615384615385
1KN2_1	0.121703232694536	-1.42307692307692	1805	6.52
5CHN_1	0.104505432511898	-0.376923076923077	1696	5.86538461538461
1KNO_1	0.719916935905108	-1.05384615384615	1768	5.78769230769231
1A3L_1	0.262747390047932	-0.861538461538462	1796	6.11384615384615
1F11_1	0.161716027964145	-1.13076923076923	1755	6.14846153846154
4M6M_1	0.120888389525217	-0.653846153846154	1710	5.87461538461539
1IGI_1	0.913739668754911	-0.530769230769231	1722	6.26076923076923
1AXS_1	0.545885727969234	-1.44615384615385	1766	6.13692307692308
1T04_1	0.992078525784294	-1.06923076923077	1765	5.63
1T66_1	0.227991025244418	-0.576923076923077	1766	5.64923076923077
4YGV_1	0.550081699608793	-1.13076923076923	1755	6.14846153846154
3AAZ_1	0.724116234807988	-0.823076923076923	1608	5.86
1BLN_1	0.696408255587196	-0.938461538461539	1707	5.68846153846154
1UYW_1	0.41023153463928	-0.507692307692308	1625	5.78153846153846
1ZVO_1	0.000438406204334135	-0.892307692307692	1714	5.83615384615385
1A4J_1	0.802862474388053	0.415384615384615	1504	5.68076923076923
3RA7_1	0.729175583827381	0.161538461538461	1632	5.72923076923077
2XKN_1	0.0813611204568878	-0.223076923076923	1721	5.43307692307692
3MUG_1	0.526273380147112	0.0153846153846153	1535	6.16615384615385
1GPO_1	0.29030622455004	-0.415384615384615	1752	5.88538461538462
4R7N_1	0.988127317950728	-1.09230769230769	1696	5.59153846153846
1NGP_1	0.0950104026541272	-1.00769230769231	1815	5.65538461538462
2V7H_1	0.750812344224905	-0.523076923076923	1822	5.88307692307692
3J2X_1	0.00291153749270596	-0.815384615384615	1739	6.13461538461539
1A6U_1	0.888884437377716	-1.00769230769231	1815	5.65538461538462
3J2Y_1	0.00358261681596061	-0.507692307692308	1807	6.16615384615385
3V0V_1	0.820647451104511	-1.1	1671	5.88153846153846
3HC0_1	0.0273063425690824	-1.16923076923077	1713	6.11153846153846
4LLY_1	0.128554841246839	-1.05384615384615	1681	5.42076923076923
1F3D_1	0.504802823982294	-1.3	1706	6.12923076923077
4S2S_1	0.269325659245458	-0.361538461538462	1665	5.65153846153846
1CF8_1	0.491832830707072	-0.307692307692308	1592	5.84692307692308
2A9M_1	0.127812379126593	-0.446153846153846	1595	5.88307692307692
1C5B_1	0.110247139575137	-1.50769230769231	1895	6.26615384615384
2XZA_1	0.08881190461025	-0.892307692307692	1714	5.83615384615385
4OAW_1	0.152907598790906	-0.615384615384616	1640	6.14153846153846
4JY6_1	0.915240126694902	-1.02307692307692	1682	6.16153846153846
3U36_1	0.20308088504091	-0.1	1535	6.20461538461538
3LRS_3	0.127390236378226	0.0153846153846154	1535	6.16615384615385
3S96_1	0.521313767323	0.176923076923077	1695	5.63
1J05_1	0.358826285860583	-0.776923076923077	1812	5.97923076923077
1MFB_1	0.385821534239602	-1.00769230769231	1815	5.65538461538462
4NKO_1	0.176117219085283	-1.13076923076923	1755	6.14846153846154
1FVE_1	0.455248073649963	-0.484615384615385	1671	5.88153846153846
3PIQ_2	0.211208552899733	-0.153846153846154	1593	6.17769230769231
1C5D_1	0.663883464972958	-0.723076923076923	1560	5.89538461538461
3J7E_1	0.00320524636338497	-0.569230769230769	1749	6.16692307692308
4F58_1	0.470993921411943	-0.569230769230769	1523	5.90692307692308
1Q0X_1	0.332669698917712	-1.00769230769231	1815	5.65538461538462
1WC7_1	0.497942444357043	-0.684615384615385	1687	5.85692307692308
1NGW_1	0.685219655203131	-0.376923076923077	1705	6.17923076923077
5DK3_1	0.081214749353185	-1.13076923076923	1755	6.14846153846154
1CT8_1	0.311733681340338	-0.915384615384615	1818	6.04615384615385
1NC2_1	0.834627395423202	-0.315384615384615	1616	5.38846153846154
1MCP_1	0.345054674190196	-0.276923076923077	1630	5.88384615384615
2UYL_1	0.346897762295561	-1.1	1778	6.16615384615385
4OCX_1	0.981229452835573	-0.315384615384615	1629	6.01615384615385
3FO2_1	0.175314398473142	-0.623076923076923	1592	5.88461538461539
4Q2Z_1	0.691440830449361	-0.723076923076923	1712	6.19384615384615
2IQA_1	0.990573868948954	-0.823076923076923	1608	5.86
1CLY_1	0.154586977396225	-0.976923076923077	1783	5.68692307692308
3GK8_1	0.000837678538184297	-1.22307692307692	1763	5.70076923076923
1IGY_1	0.403284917620907	-1.51538461538462	1767	6.15923076923077
4EVN_1	0.0901241204204156	-0.930769230769231	1604	6.55923076923077
4JN1_1	0.329901375869367	-0.884615384615385	1691	6.25615384615385
3MCK_1	0.375771392764937	-0.823076923076923	1608	5.86
1YEC_1	0.422832949997593	-1.42307692307692	1805	6.52
1ZA6_1	0.750825111206111	-0.623076923076923	1675	6.23923076923077
4JDV_1	0.254144783760162	-0.723076923076923	1712	6.19384615384615
4HIE_1	0.758204338723848	-0.415384615384615	1565	5.90538461538462
4NKM_1	0.423377532565892	-0.823076923076923	1608	5.86
2ADG_1	0.0995053164827551	-1.2	1710	5.62307692307692
4NRZ_1	0.0725661263124874	-0.653846153846154	1710	5.87461538461539
4OZ4_1	0.146439693063389	-0.392307692307692	1675	6.15769230769231
2A9N_1	0.364569407137381	-0.446153846153846	1595	5.88307692307692
3Q6F_1	0.549676890440556	-0.153846153846154	1593	6.17769230769231
4UIK_1	0.182333847489984	-0.546153846153846	1808	5.87846153846154
4OTX_1	0.236938754453551	-0.884615384615385	1765	6.18076923076923
5CP7_1	0.628700371785256	-1.49230769230769	1681	6.20538461538461
1S3K_1	0.749006642139665	-0.423076923076923	1695	5.88461538461539
3FZU_1	0.593856559111712	-0.484615384615385	1671	5.88153846153846
3IJH_1	0.460709558443976	-0.684615384615385	1687	5.85692307692308
4AT6_3	0.559410861609708	-1.35384615384615	1717	5.76692307692308
1MRD_1	0.50425430038457	-0.784615384615385	1762	6.15230769230769
3LS4_1	0.410490335721194	-0.153846153846154	1648	5.74307692307692
1I7Z_1	0.200828932458695	-0.307692307692308	1577	5.66769230769231
15C8_1	0.56744265795497	-1.36923076923077	1828	5.73384615384615
1DN0_1	0.805748490031266	-0.892307692307692	1714	5.83615384615384
3IXX_1	0.00426117280413206	-0.161538461538462	1620	5.83923076923077
5D6C_1	0.723680657030781	-0.453846153846154	1694	5.89923076923077
3HNS_1	0.1881338224279	-0.607692307692308	1836	6.21307692307692
