PDB	SD	Hydrophobic	Hydrophilic	Amphipathic	Glycines
1Q72_1	0.517298929545287	16.6666666666667	50	16.6666666666667	16.6666666666667
1M71_1	0.980892740734003	50	33.3333333333333	0	16.6666666666667
5CHN_1	0.104505432511898	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
2XA8_1	0.524676039123427	16.6666666666667	50	16.6666666666667	16.6666666666667
1G9M_1	0.167967559016618	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
2G2R_1	0.61628527910417	33.3333333333333	50	0	16.6666666666667
2YK1_1	0.847567886415005	16.6666666666667	50	16.6666666666667	16.6666666666667
3S96_1	0.521313767323	66.6666666666667	33.3333333333333	0	0
4U6V_1	0.0353383684965795	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3J8W_1	0.00140198011754809	16.6666666666667	50	16.6666666666667	16.6666666666667
1AJ7_1	0.159502076632253	16.6666666666667	66.6666666666667	16.6666666666667	0
1C5D_1	0.663883464972958	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3MME_1	0.147361053199275	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3O0R_1	0.39940665179263	16.6666666666667	50	16.6666666666667	16.6666666666667
1NCB_1	0.945536823841624	16.6666666666667	33.3333333333333	16.6666666666667	33.3333333333333
4OCX_1	0.981229452835573	16.6666666666667	50	16.6666666666667	16.6666666666667
3VG9_1	0.820455998210751	16.6666666666667	50	16.6666666666667	16.6666666666667
2LTQ_1	0.100606445720442	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1NMC_1	0.000297691954881581	33.3333333333333	66.6666666666667	0	0
2DD8_1	0.970417888467298	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
2A9N_1	0.364569407137381	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3FZU_1	0.593856559111712	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4G6F_1	0.713772925269362	33.3333333333333	16.6666666666667	33.3333333333333	16.6666666666667
4OKV_1	0.15597007826022	16.6666666666667	50	16.6666666666667	16.6666666666667
3IF1_1	0.13752873340688	50	33.3333333333333	0	16.6666666666667
3INU_1	0.212269920178297	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
2A9M_1	0.127812379126593	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
15C8_1	0.56744265795497	16.6666666666667	50	16.6666666666667	16.6666666666667
4O51_1	0.39549663677152	50	16.6666666666667	16.6666666666667	16.6666666666667
1FL5_1	0.511469528770044	16.6666666666667	50	16.6666666666667	16.6666666666667
3U36_1	0.20308088504091	33.3333333333333	16.6666666666667	33.3333333333333	16.6666666666667
1NCW_1	0.767520297049329	16.6666666666667	50	16.6666666666667	16.6666666666667
2FJH_1	0.0211340074761033	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3V7A_1	0.0234886730574533	16.6666666666667	50	16.6666666666667	16.6666666666667
1NGP_1	0.0950104026541272	33.3333333333333	66.6666666666667	0	0
3LRS_3	0.127390236378226	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
2IQA_1	0.990573868948954	16.6666666666667	50	16.6666666666667	16.6666666666667
4JY6_1	0.915240126694902	16.6666666666667	33.3333333333333	33.3333333333333	16.6666666666667
4NM4_1	0.638231582115535	16.6666666666667	33.3333333333333	33.3333333333333	16.6666666666667
1AFV_1	0.238492975158599	33.3333333333333	50	0	16.6666666666667
4KUC_1	0.955917151389441	16.6666666666667	50	16.6666666666667	16.6666666666667
2O5X_1	0.394601651922966	50	33.3333333333333	0	16.6666666666667
1AY1_1	0.584172731743363	16.6666666666667	50	16.6666666666667	16.6666666666667
2G5B_1	0.6340500950479	33.3333333333333	16.6666666666667	16.6666666666667	33.3333333333333
4FQK_1	0.243079269741376	50	16.6666666666667	16.6666666666667	16.6666666666667
1MHP_1	0.618455389815629	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1T66_1	0.227991025244418	33.3333333333333	50	0	16.6666666666667
2ADG_1	0.0995053164827551	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3WKM_1	0.97051324956669	16.6666666666667	50	16.6666666666667	16.6666666666667
3O41_1	0.702036427674756	16.6666666666667	50	16.6666666666667	16.6666666666667
1NCA_1	0.708653223717002	16.6666666666667	33.3333333333333	16.6666666666667	33.3333333333333
1R24_1	0.96494124813094	50	50	0	0
4FQQ_1	0.82457913785185	16.6666666666667	33.3333333333333	33.3333333333333	16.6666666666667
4CNI_1	0.429393421302659	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1YY8_1	0.599459968732276	16.6666666666667	66.6666666666667	16.6666666666667	0
3HNS_1	0.1881338224279	33.3333333333333	50	16.6666666666667	0
4ZTO_1	0.3083943165208	50	16.6666666666667	16.6666666666667	16.6666666666667
2R4R_1	0.723834172426254	16.6666666666667	50	16.6666666666667	16.6666666666667
2AJ3_1	0.879111036616536	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4UTB_1	0.344848906116868	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1BQL_1	0.539655410120198	16.6666666666667	50	16.6666666666667	16.6666666666667
3MUG_1	0.526273380147112	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4Q6I_1	0.333750622815273	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
2QR0_1	0.43196531283457	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4J8R_1	0.818467613942055	33.3333333333333	50	0	16.6666666666667
2B2X_1	0.514162089338078	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4HIX_1	0.0443044824820222	16.6666666666667	50	16.6666666666667	16.6666666666667
5DLM_1	0.229231290538618	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1GPO_1	0.29030622455004	33.3333333333333	66.6666666666667	0	0
1J05_1	0.358826285860583	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3MJ8_1	0.45397521424523	16.6666666666667	50	16.6666666666667	16.6666666666667
1L7T_1	0.140000071607123	16.6666666666667	50	16.6666666666667	16.6666666666667
1UWX_1	0.0327574287452484	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1MRD_1	0.50425430038457	33.3333333333333	50	0	16.6666666666667
2GFB_1	0.46591611079525	33.3333333333333	50	16.6666666666667	0
3CFD_1	0.225727643347022	33.3333333333333	66.6666666666667	0	0
3HZK_1	0.349505583249157	16.6666666666667	50	16.6666666666667	16.6666666666667
4ZS6_1	0.422140627048022	33.3333333333333	16.6666666666667	16.6666666666667	33.3333333333333
1D5B_1	0.539518938511427	16.6666666666667	50	16.6666666666667	16.6666666666667
1S3K_1	0.749006642139665	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1UA6_1	0.858780478644283	33.3333333333333	66.6666666666667	0	0
2WUB_1	0.791807250049109	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3I02_1	0.00251588592746044	16.6666666666667	50	16.6666666666667	16.6666666666667
1C08_1	0.835087244348158	33.3333333333333	66.6666666666667	0	0
4F33_1	0.216028950834603	16.6666666666667	50	16.6666666666667	16.6666666666667
1LO0_1	0.457196486479245	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1KN2_1	0.121703232694536	16.6666666666667	50	16.6666666666667	16.6666666666667
1IGI_1	0.913739668754911	33.3333333333333	50	0	16.6666666666667
4QEX_1	0.109995409561032	16.6666666666667	50	16.6666666666667	16.6666666666667
4JN1_1	0.329901375869367	16.6666666666667	50	16.6666666666667	16.6666666666667
1Q0X_1	0.332669698917712	33.3333333333333	66.6666666666667	0	0
3RKD_1	0.278778262696355	16.6666666666667	50	16.6666666666667	16.6666666666667
3IET_1	0.0826317913426774	50	33.3333333333333	0	16.6666666666667
1FJ1_1	0.281219902411792	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4RGN_2	0.0554795980518963	16.6666666666667	50	16.6666666666667	16.6666666666667
2P8M_1	0.405682330457056	16.6666666666667	50	16.6666666666667	16.6666666666667
1YED_1	0.0956531627182308	16.6666666666667	50	16.6666666666667	16.6666666666667
3DVN_1	0.416703683007484	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
2Q76_1	0.393415828275883	33.3333333333333	66.6666666666667	0	0
1TJG_1	0.54507703467109	16.6666666666667	50	16.6666666666667	16.6666666666667
3MLW_1	0.504816966117917	16.6666666666667	50	16.6666666666667	16.6666666666667
1TZH_1	0.352165339981802	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3BN9_1	0.620974811276996	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3GK8_1	0.000837678538184297	16.6666666666667	50	16.6666666666667	16.6666666666667
4EVN_1	0.0901241204204156	33.3333333333333	16.6666666666667	33.3333333333333	16.6666666666667
3BSZ_1	0.639698998842815	16.6666666666667	50	16.6666666666667	16.6666666666667
4NKO_1	0.176117219085283	16.6666666666667	50	16.6666666666667	16.6666666666667
4N8C_1	0.631208060614326	33.3333333333333	50	0	16.6666666666667
1MH5_1	0.165177315658052	16.6666666666667	50	16.6666666666667	16.6666666666667
4M5Y_1	0.868605616769966	16.6666666666667	33.3333333333333	33.3333333333333	16.6666666666667
1RZ7_1	0.626416094626693	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1FSK_1	0.0654852368572491	16.6666666666667	83.3333333333333	0	0
4G6K_1	0.193008331458776	33.3333333333333	50	0	16.6666666666667
4HG4_1	0.905787267283312	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3SM5_1	0.986238179752531	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1IND_1	0.798028692431862	33.3333333333333	66.6666666666667	0	0
4HLZ_1	0.595136031029323	16.6666666666667	50	16.6666666666667	16.6666666666667
5DK3_1	0.081214749353185	16.6666666666667	50	16.6666666666667	16.6666666666667
3U0T_1	0.129689747630642	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1XGY_1	0.341255389454877	16.6666666666667	50	16.6666666666667	16.6666666666667
4FQQ_2	0.344312919176725	16.6666666666667	33.3333333333333	33.3333333333333	16.6666666666667
4Z5R_1	0.838621536834789	16.6666666666667	50	16.6666666666667	16.6666666666667
4KI5_1	0.557998337539938	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3H3P_1	0.204418913586779	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3J2Y_1	0.00358261681596061	16.6666666666667	50	16.6666666666667	16.6666666666667
2VWE_1	0.132731721003308	33.3333333333333	66.6666666666667	0	0
1KEN_1	0.264509554958792	33.3333333333333	50	0	16.6666666666667
1I9R_1	0.235702835013353	16.6666666666667	50	16.6666666666667	16.6666666666667
3PJS_1	0.516396546766628	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4Y5Y_1	0.248705718399276	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
2J6E_1	0.925793695404115	16.6666666666667	50	16.6666666666667	16.6666666666667
4Y5X_1	0.60163042836418	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4NNP_1	0.772963171252354	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
2GJZ_1	0.215979893351983	16.6666666666667	50	16.6666666666667	16.6666666666667
2ARJ_1	0.507079707817718	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1E4W_1	0.764432635044123	33.3333333333333	66.6666666666667	0	0
1YNT_1	0.0348264231870018	33.3333333333333	66.6666666666667	0	0
4LU5_1	0.0561322576109317	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1D5I_1	0.927919258388356	16.6666666666667	50	16.6666666666667	16.6666666666667
3TT1_1	0.100624123389972	16.6666666666667	50	16.6666666666667	16.6666666666667
4PY7_1	0.576331864259934	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
5DUR_1	0.0442804408514622	16.6666666666667	50	16.6666666666667	16.6666666666667
3J7E_1	0.00320524636338497	33.3333333333333	50	0	16.6666666666667
2ZCH_1	0.190778852039041	16.6666666666667	50	16.6666666666667	16.6666666666667
1FVE_1	0.455248073649963	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3FO2_1	0.175314398473142	16.6666666666667	50	16.6666666666667	16.6666666666667
4DKE_1	0.232649444718875	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4XMK_1	0.81305081106759	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
2QAD_1	0.201374111786995	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1T04_1	0.992078525784294	16.6666666666667	50	16.6666666666667	16.6666666666667
4F2M_1	0.0969012061870243	33.3333333333333	66.6666666666667	0	0
3W11_1	0.834901285203827	16.6666666666667	50	16.6666666666667	16.6666666666667
1CT8_1	0.311733681340338	33.3333333333333	66.6666666666667	0	0
4Q2Z_1	0.691440830449361	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1JGU_1	0.512223909650846	66.6666666666667	16.6666666666667	0	16.6666666666667
3Q6F_1	0.549676890440556	33.3333333333333	16.6666666666667	33.3333333333333	16.6666666666667
3ZKM_1	0.205815308618146	16.6666666666667	50	16.6666666666667	16.6666666666667
1FOR_1	0.660840077386733	16.6666666666667	50	16.6666666666667	16.6666666666667
4G7V_1	0.35323377832818	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4LF3_1	0.308894647613872	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4F58_1	0.470993921411943	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
2XKN_1	0.0813611204568878	50	50	0	0
3NGB_1	0.681917068478786	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1AD0_1	0.0250549145777812	16.6666666666667	50	16.6666666666667	16.6666666666667
3BAE_1	0.427578444758678	16.6666666666667	50	16.6666666666667	16.6666666666667
1F58_1	0.471498907656564	16.6666666666667	50	16.6666666666667	16.6666666666667
4JDV_1	0.254144783760162	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4OTX_1	0.236938754453551	16.6666666666667	50	16.6666666666667	16.6666666666667
1C5B_1	0.110247139575137	16.6666666666667	66.6666666666667	16.6666666666667	0
4NCC_1	0.0560247773801914	16.6666666666667	50	16.6666666666667	16.6666666666667
3LEX_1	0.197571291517768	16.6666666666667	50	16.6666666666667	16.6666666666667
3HC0_1	0.0273063425690824	33.3333333333333	50	0	16.6666666666667
2X7L_1	0.290696589646318	50	16.6666666666667	16.6666666666667	16.6666666666667
2FL5_1	0.53068060103638	16.6666666666667	50	16.6666666666667	16.6666666666667
1KFA_1	0.263028166252209	50	33.3333333333333	0	16.6666666666667
3AAZ_1	0.724116234807988	16.6666666666667	50	16.6666666666667	16.6666666666667
3KS0_1	0.236852487426248	33.3333333333333	66.6666666666667	0	0
1MFB_1	0.385821534239602	33.3333333333333	66.6666666666667	0	0
4HC1_1	0.308489475428255	16.6666666666667	50	16.6666666666667	16.6666666666667
3CMO_1	0.977372185344202	16.6666666666667	66.6666666666667	16.6666666666667	0
2VXT_1	0.470446431669255	16.6666666666667	66.6666666666667	16.6666666666667	0
1BBJ_1	0.00155351359826355	16.6666666666667	50	16.6666666666667	16.6666666666667
3CSY_1	0.436876897998357	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4CAD_1	0.202570775470986	16.6666666666667	50	16.6666666666667	16.6666666666667
1BVK_1	0.776048823508117	16.6666666666667	50	16.6666666666667	16.6666666666667
1F11_1	0.161716027964145	16.6666666666667	50	16.6666666666667	16.6666666666667
3A6B_1	0.00304089159622724	33.3333333333333	66.6666666666667	0	0
4U6H_1	0.183231165995306	33.3333333333333	50	0	16.6666666666667
2VC2_1	0.815947549265202	16.6666666666667	50	16.6666666666667	16.6666666666667
4HCR_1	0.266562285944579	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1MJJ_1	0.955794551937286	16.6666666666667	50	16.6666666666667	16.6666666666667
5ANY_1	0.00190421066323934	50	50	0	0
4QHK_3	0.259081803306407	16.6666666666667	50	16.6666666666667	16.6666666666667
4JHA_1	0.814346595621299	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
2I9L_1	0.682963598282515	16.6666666666667	50	16.6666666666667	16.6666666666667
4LLY_1	0.128554841246839	16.6666666666667	50	16.6666666666667	16.6666666666667
4U1G_1	0.664500769192933	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4RGM_1	0.162976799354998	33.3333333333333	50	16.6666666666667	0
4RDQ_1	0.139477041353408	33.3333333333333	50	0	16.6666666666667
1OB1_1	0.660066502568113	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3GI8_1	0.651129379960697	33.3333333333333	50	0	16.6666666666667
1W72_1	0.665098981529819	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1FBI_1	0.130306344743837	33.3333333333333	50	16.6666666666667	0
1A6U_1	0.888884437377716	33.3333333333333	66.6666666666667	0	0
1JPS_1	0.33614815197308	16.6666666666667	50	16.6666666666667	16.6666666666667
4ORG_3	0.643291101291243	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4ODV_1	0.940317210321246	50	50	0	0
1NAK_1	0.262544505213877	50	33.3333333333333	0	16.6666666666667
2QQK_1	0.999873737335119	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3EO9_1	0.78093317940961	16.6666666666667	50	16.6666666666667	16.6666666666667
3IFO_1	0.238629446767365	16.6666666666667	50	16.6666666666667	16.6666666666667
4FNL_1	0.40288634462036	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3PIQ_2	0.211208552899733	33.3333333333333	16.6666666666667	33.3333333333333	16.6666666666667
1P2C_1	0.252841585962439	33.3333333333333	66.6666666666667	0	0
1DBA_1	0.990152172842874	66.6666666666667	16.6666666666667	0	16.6666666666667
3H42_1	0.765051353477657	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1I9I_1	0.689519621324879	16.6666666666667	50	16.6666666666667	16.6666666666667
3U7W_1	0.675157575492195	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4C83_1	0.397353705940312	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3HAE_1	0.0557790059789523	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4JZO_1	0.906791542619543	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3RHW_1	0.7971158884836	33.3333333333333	66.6666666666667	0	0
3W14_1	0.0613408061611551	16.6666666666667	66.6666666666667	16.6666666666667	0
4OZ4_1	0.146439693063389	16.6666666666667	50	16.6666666666667	16.6666666666667
1NGW_1	0.685219655203131	50	33.3333333333333	0	16.6666666666667
4WV1_1	0.000257386868355222	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1BFO_1	0.243785502027226	33.3333333333333	50	0	16.6666666666667
3PNW_1	0.503894037663531	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4POZ_1	0.656404497420861	33.3333333333333	50	16.6666666666667	0
1PG7_1	0.0091782460198006	33.3333333333333	66.6666666666667	0	0
4QXT_1	0.899392536970136	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3LS4_1	0.410490335721194	50	16.6666666666667	16.6666666666667	16.6666666666667
1T4K_1	0.32801622919072	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3J2X_1	0.00291153749270596	16.6666666666667	50	16.6666666666667	16.6666666666667
2B0S_1	0.802119223829601	16.6666666666667	50	16.6666666666667	16.6666666666667
4M48_1	0.585999907647276	16.6666666666667	50	16.6666666666667	16.6666666666667
2Y6S_1	0.101862974470609	16.6666666666667	50	16.6666666666667	16.6666666666667
5A3I_1	0.880399561372277	16.6666666666667	50	16.6666666666667	16.6666666666667
2R29_1	0.00448283217769088	16.6666666666667	50	16.6666666666667	16.6666666666667
3IFP_1	0.197077755444393	16.6666666666667	50	16.6666666666667	16.6666666666667
4D9Q_1	0.724275221862057	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4EBQ_1	0.354473568110985	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1YUH_1	0.63185718463946	33.3333333333333	66.6666666666667	0	0
4R7N_1	0.988127317950728	16.6666666666667	66.6666666666667	16.6666666666667	0
4UU9_1	0.904611604666886	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4DGI_1	0.832288462054035	16.6666666666667	66.6666666666667	16.6666666666667	0
4NCO_1	0.00755530081024822	16.6666666666667	33.3333333333333	33.3333333333333	16.6666666666667
4ODX_1	0.930653640311204	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1MF2_1	0.497602844833107	50	33.3333333333333	0	16.6666666666667
1ORS_1	0.617997708871426	16.6666666666667	50	16.6666666666667	16.6666666666667
1L7I_1	0.786082466595796	16.6666666666667	50	16.6666666666667	16.6666666666667
1HIL_1	0.800655312209444	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4JZJ_1	0.245250794666399	16.6666666666667	50	16.6666666666667	16.6666666666667
1JN6_1	0.31617178938751	33.3333333333333	66.6666666666667	0	0
3V0V_1	0.820647451104511	16.6666666666667	50	16.6666666666667	16.6666666666667
3VRL_1	0.492089751163343	16.6666666666667	50	16.6666666666667	16.6666666666667
4OII_1	0.00574948523783198	16.6666666666667	50	16.6666666666667	16.6666666666667
3IXT_1	0.614717726736929	16.6666666666667	50	16.6666666666667	16.6666666666667
4OAW_1	0.152907598790906	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3IYW_1	0.00265160976264292	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3IXX_1	0.00426117280413206	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1Z3G_1	0.64022650050158	16.6666666666667	50	16.6666666666667	16.6666666666667
3LHP_1	0.523333971396854	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4JLR_1	0.264025893920466	16.6666666666667	50	16.6666666666667	16.6666666666667
4FFW_1	0.171669263016124	33.3333333333333	66.6666666666667	0	0
1KC5_1	0.216758634025266	33.3333333333333	66.6666666666667	0	0
1TPX_1	0.38490784221984	50	33.3333333333333	0	16.6666666666667
1U6A_1	0.536124252607859	16.6666666666667	50	16.6666666666667	16.6666666666667
3V6O_1	0.40788888987321	33.3333333333333	50	0	16.6666666666667
4LMQ_1	0.348680010657336	16.6666666666667	50	16.6666666666667	16.6666666666667
4XAK_1	0.400939444427709	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4S2S_1	0.269325659245458	16.6666666666667	50	16.6666666666667	16.6666666666667
1EHL_1	0.844015381946325	16.6666666666667	50	16.6666666666667	16.6666666666667
1RZ8_1	0.821988342225397	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1GIG_1	0.745394448426414	33.3333333333333	66.6666666666667	0	0
1I8I_1	0.315947330649427	16.6666666666667	50	16.6666666666667	16.6666666666667
4QWW_1	0.110313607612566	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
5CSZ_1	0.646648444288316	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4DGV_1	0.44528211067592	50	16.6666666666667	16.6666666666667	16.6666666666667
4ODT_1	0.812252779377025	50	50	0	0
3UO1_1	0.376667136785582	66.6666666666667	16.6666666666667	0	16.6666666666667
1AXS_1	0.545885727969234	16.6666666666667	50	16.6666666666667	16.6666666666667
