LOWpdb	SD	HYDRO	MW	PI
4XVS_1	1.57984696190502	-1.25	822	6.72
4O51_1	0.39549663677152	-0.2	737	5.92666666666667
4NCO_1	0.00755530081024822	-2.36666666666667	795	6.455
3VRL_1	0.492089751163343	-0.95	784	5.765
3HC0_1	0.0273063425690824	-0.716666666666667	795	5.69
4PTT_1	0.275803464467907	-0.416666666666667	786	6.465
4J8R_1	0.818467613942055	-0.716666666666667	795	5.69
3IXT_1	0.614717726736929	-1.4	811	5.72
1IGI_1	0.913739668754911	-0.666666666666667	804	6.01333333333333
4LF3_1	0.308894647613872	-0.116666666666667	796	5.81166666666667
4K2U_1	0.256893307818638	-1.23333333333333	854	4.71666666666667
1FBI_1	0.130306344743837	-1.3	853	5.83833333333333
1F8T_1	0.711854935546796	-1.4	811	5.72
3MAC_1	0.485910345002555	-0.516666666666667	768	5.81833333333333
4JZJ_1	0.245250794666399	-1.4	811	5.72
3O0R_1	0.39940665179263	-1.4	812	5.315
1LK3_1	0.729321954931084	-0.716666666666667	795	5.69
1AXT_1	1.30729109929656	0.166666666666667	752	5.78833333333333
2B0S_1	0.802119223829601	-0.9	793	6.08833333333333
4YDJ_1	1.46427813669467	-1.2	853	6.57666666666667
5DLM_1	0.229231290538618	-1.08333333333333	794	5.86833333333333
5DUR_1	0.0442804408514622	-1.4	811	5.72
3L95_1	1.91435725977415	-0.516666666666667	768	5.81833333333333
4XNM_1	1.2355492114987	-1.4	811	5.72
4K8R_2	1.19282832867852	-1.08333333333333	794	5.86833333333333
3O41_1	0.702036427674756	-1.4	811	5.72
4NNP_1	0.772963171252354	-0.516666666666667	768	5.81833333333333
1Z3G_1	0.64022650050158	-1.4	811	5.72
3J2X_1	0.00291153749270596	-1.4	811	5.72
3WIH_1	1.38442402718411	-1.23333333333333	853	5.15666666666667
3I02_1	0.00251588592746044	-0.95	784	5.765
1GPO_1	0.29030622455004	-1.18333333333333	875	5.96
3S96_1	0.521313767323	1.38333333333333	836	5.79
4LVH_1	0.239238070884074	-0.883333333333334	837	6.58166666666667
4JR9_1	0.306915323990728	-0.883333333333333	754	5.81333333333333
1WC7_1	0.497942444357043	-0.95	784	5.765
3ZKM_1	0.205815308618146	-1.4	811	5.72
4PP1_1	0.0554576777416847	-1.23333333333333	853	5.15666666666667
3FZU_1	0.593856559111712	-0.516666666666667	768	5.81833333333333
4FQK_1	0.243079269741376	-0.2	737	5.92666666666667
3U2S_1	0.249518256914532	-0.583333333333333	768	6.5
1AP2_1	0.892806456954978	0.366666666666667	711	5.87666666666667
4HS6_1	1.15113307021908	-0.95	784	5.765
2VWE_1	0.132731721003308	-1.23333333333333	853	5.15666666666667
4NRZ_1	0.0725661263124874	-0.95	784	5.765
1HIL_1	0.800655312209444	-1.08333333333333	794	5.86833333333333
1RZ8_1	0.821988342225397	-0.516666666666667	768	5.81833333333333
4N8C_1	0.631208060614326	-0.716666666666667	795	5.69
4XAK_1	0.400939444427709	-0.516666666666667	768	5.81833333333333
4TTD_1	0.0436044467686514	-0.583333333333333	768	6.5
4G80_1	0.24577127991878	-0.516666666666667	768	5.81833333333333
1AD0_1	0.0250549145777812	-0.95	784	5.765
3UAJ_1	0.62348311443829	-1.4	811	5.72
4YDV_1	0.162190496614319	-0.95	784	5.765
3BGF_1	1.66137213113514	-1.91666666666667	870	4.78166666666667
1NMC_1	0.000297691954881581	-1.23333333333333	853	5.15666666666667
3HR5_1	1.31928777431992	-0.516666666666667	768	5.81833333333333
2XA8_1	0.524676039123427	-1.4	811	5.72
4UU9_1	0.904611604666886	-0.516666666666667	768	5.81833333333333
1JGU_1	0.512223909650846	1.38333333333333	737	5.84333333333333
1F58_1	0.471498907656564	-1.4	811	5.72
2NTF_1	1.90594192979229	-1.23333333333333	855	4.31166666666667
4HFW_1	1.41418527810185	-0.583333333333333	768	6.5
1FSK_1	0.0654852368572491	-2.23333333333333	843	5.50833333333333
4JO3_1	0.339018554518162	-0.2	737	5.92666666666667
4FFV_1	0.898519879746965	-0.25	768	5.68166666666667
3NH7_1	0.522566011348727	-0.516666666666667	768	5.81833333333333
4RFE_1	1.20224709887438	-1.4	811	5.72
1YUH_1	0.63185718463946	-1.23333333333333	854	4.75166666666667
4R7N_1	0.988127317950728	-1.91666666666667	869	5.18666666666667
1BFV_1	1.39267715616375	-0.4	778	5.83833333333333
4MHH_1	0.723324066596248	0.166666666666667	738	5.74833333333333
5CSZ_1	0.646648444288316	-0.516666666666667	768	5.81833333333333
8FAB_1	1.18415849243439	-0.883333333333333	754	5.81333333333333
3W14_1	0.0613408061611551	-1.91666666666667	869	5.18666666666667
3U9U_1	0.450286305366374	-1.4	811	5.72
1Q72_1	0.517298929545287	-0.933333333333333	798	5.75166666666667
4RDQ_1	0.139477041353408	-0.716666666666667	795	5.69
3H3P_1	0.204418913586779	-0.516666666666667	768	5.81833333333333
5DO2_1	0.273249394774259	-0.916666666666667	836	5.305
3NCY_1	0.230825109223413	-1.4	811	5.72
3CMO_1	0.977372185344202	-1.91666666666667	869	5.18666666666667
1MH5_1	0.165177315658052	-1.4	811	5.72
4IMK_1	1.60226578240253	-0.516666666666667	768	5.81833333333333
4LVN_1	1.30800117409141	-0.516666666666667	754	5.77833333333333
3J8Z_1	0.00157282304577803	-0.25	782	5.72166666666667
3QUM_2	1.73141883598626	-0.516666666666667	754	5.77833333333333
3IJH_1	0.460709558443976	-0.95	784	5.765
4YAQ_1	1.66696534577432	-0.583333333333333	768	6.5
3A6B_1	0.00304089159622724	-1.18333333333333	875	5.96
4LLY_1	0.128554841246839	-1.4	798	5.24
1BVK_1	0.776048823508117	-1.4	811	5.72
4YGV_1	0.550081699608793	-1.4	811	5.72
