HIGHpdb	SD	HYDRO	MW	PI
4TRP_1	2.59057174075226	-0.716666666666667	795	5.69
4NP4_1	2.06950780127498	-0.95	784	5.765
4F37_1	2.30942913213158	-1.4	811	5.72
4ZFO_1	2.52094669069469	-0.516666666666667	851	6.58666666666667
3CFB_1	2.66656968878751	-1.08333333333333	794	5.86833333333333
12E8_1	5.700474316835	0.566666666666666	780	5.78166666666667
3TCL_1	2.1464085517154	-1	791	6.98833333333333
2EH7_1	2.52211483109721	-0.516666666666667	768	5.81833333333333
2RCJ_1	59.2176569370778	-0.516666666666667	768	5.81833333333333
1WT5_1	2.8354288960935	-0.516666666666667	768	5.81833333333333
1BOG_1	2.02080370583319	-1.4	811	5.72
2HKF_1	2.86732153324536	0.166666666666667	752	5.78833333333333
4GAG_1	2.03620236477431	-1.4	811	5.72
4UIF_1	4.61721071375209	-0.683333333333333	796	6.67
3KYK_1	2.51675169006455	-0.683333333333333	796	6.67
3SKJ_1	5.39770527104176	-0.516666666666667	768	5.81833333333333
4R4F_1	3.24538183066099	-1.35	834	6.08333333333333
2JIX_1	2.50866798494161	-1.4	811	5.72
4JAM_1	5.09396653340665	0.166666666666667	783	6.66833333333333
4MWF_1	3.63839885071229	0.166666666666667	752	5.78833333333333
4FQH_1	2.12834319104221	-0.516666666666667	768	5.81833333333333
1A4K_1	2.47042603249925	1.05	695	5.84666666666667
3W9D_1	3.53165008330912	-0.516666666666667	768	5.81833333333333
1N7M_1	2.14302375043603	0.166666666666667	738	5.74833333333333
1AD9_1	4.1802300283982	-1.4	811	5.72
4TPR_1	3.89171773375202	-0.516666666666667	768	5.81833333333333
1UB6_1	2.02446085667271	-1.08333333333333	794	5.86833333333333
2FAT_1	2.432769122813	-1.4	811	5.72
1OM3_1	10.5948039020082	-0.516666666666667	711	6.24833333333333
1MNU_1	2.16153712417676	-0.25	782	5.72166666666667
4C2I_1	2.7739282837998	-0.516666666666667	768	5.81833333333333
2PCP_1	2.08511576925611	-1.4	811	5.72
5DFV_1	2.29716082947799	-1.4	811	5.72
3R06_1	4.20896046985482	-0.516666666666667	768	5.81833333333333
4R4N_1	3.20868305251454	-1.35	834	6.08333333333333
3QG6_1	2.04786025959593	-1.4	811	5.72
4NKD_1	2.16927678644986	-1.4	811	5.72
3DUR_1	2.71495133560816	-0.95	784	5.765
3ULS_1	2.47589521912291	-0.516666666666667	768	5.81833333333333
4ZFF_1	2.93905375128345	-0.516666666666667	768	5.81833333333333
4QT5_1	2.5631468233959	-1.4	811	5.72
1FN4_1	4.52830192722372	-1.3	748	5.85166666666667
3J42_1	8.36006397827387	-1.35	814	5.68166666666667
4HH9_1	3.97285037796748	-0.516666666666667	768	5.81833333333333
1OCW_1	6.15257711529746	-1.23333333333333	854	4.75166666666667
5BVJ_1	2.22708490598051	-1.03333333333333	826	5.285
4MA3_1	2.01929671669132	-0.2	737	5.92666666666667
4HJG_1	2.52265506067804	-1.03333333333333	825	5.725
1CR9_1	3.29073495249952	-0.516666666666667	768	5.81833333333333
3ZTJ_1	3.29955117512392	-0.516666666666667	768	5.81833333333333
3SGD_1	2.09113475245035	-0.516666666666667	768	5.81833333333333
1Y18_1	2.28865440865827	-0.333333333333333	871	4.80666666666667
3L5W_1	2.19216923212063	-0.716666666666667	796	5.285
2OR9_1	4.00456136942768	-0.4	778	5.83833333333333
1HYS_1	2.16634260235241	-1.91666666666667	883	5.26166666666667
1CBV_1	6.31136289276037	0.166666666666667	752	5.78833333333333
1OAX_1	34.6803038980325	-1.4	895	6.08333333333333
4R26_1	2.07915764473861	-1.41666666666667	820	6.725
4G5Z_1	2.09637220210582	-1.03333333333333	826	5.285
1AR1_1	2.10780362311322	-1.08333333333333	794	5.86833333333333
1FVC_1	2.16128318650696	-0.516666666666667	768	5.81833333333333
4M7J_1	3.44701853622632	-1.4	811	5.72
4FQC_1	4.0669593002267	-0.9	779	6.04833333333333
1E6J_1	3.81586073247989	-1.4	811	5.72
