PDB	SD	Hydrophobic	Hydrophilic	Amphipathic	Glycines
4JAM_1	5.09396653340665	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3SKJ_1	5.39770527104176	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4FQC_1	4.0669593002267	16.6666666666667	50	16.6666666666667	16.6666666666667
1FN4_1	4.52830192722372	50	33.3333333333333	0	16.6666666666667
1OCW_1	6.15257711529746	33.3333333333333	66.6666666666667	0	0
1OAX_1	34.6803038980325	33.3333333333333	66.6666666666667	0	0
2OR9_1	4.00456136942768	50	33.3333333333333	0	16.6666666666667
3R06_1	4.20896046985482	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4UIF_1	4.61721071375209	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
12E8_1	5.700474316835	50	33.3333333333333	0	16.6666666666667
1OM3_1	10.5948039020082	50	33.3333333333333	0	16.6666666666667
3J42_1	8.36006397827387	33.3333333333333	66.6666666666667	0	0
1AD9_1	4.1802300283982	16.6666666666667	50	16.6666666666667	16.6666666666667
1CBV_1	6.31136289276037	50	33.3333333333333	0	16.6666666666667
2RCJ_1	59.2176569370778	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
