HIGHpdb	SD	HYDRO	MW	PI
4C2I_1	2.7739282837998	-0.415384615384615	1565	5.90538461538461
1WT5_1	2.8354288960935	-0.692307692307692	1735	6.21153846153846
1A4K_1	2.47042603249925	0.415384615384615	1504	5.68076923076923
4HJG_1	2.52265506067804	-0.653846153846154	1732	5.78461538461538
3KYK_1	2.51675169006455	-0.584615384615385	1633	6.32384615384615
4UIF_1	4.61721071375209	-0.561538461538462	1648	6.61307692307692
2RCJ_1	59.2176569370778	0.0692307692307691	1563	5.89384615384615
1UB6_1	2.02446085667271	-0.538461538461538	1719	5.72076923076923
1Y18_1	2.28865440865827	-0.353846153846154	1791	5.36846153846154
4QT5_1	2.5631468233959	-1.70769230769231	1807	6.20076923076923
1N7M_1	2.14302375043603	-0.376923076923077	1705	6.17923076923077
3DUR_1	2.71495133560816	-0.684615384615385	1687	5.85692307692308
1OCW_1	6.15257711529746	-1.00769230769231	1815	5.65538461538462
2PCP_1	2.08511576925611	-1.13076923076923	1755	6.14846153846154
1OAX_1	34.6803038980325	-1.08461538461538	1856	6.27
1FN4_1	4.52830192722372	-0.192307692307692	1575	5.89846153846154
4FQC_1	4.0669593002267	-0.4	1656	5.96461538461538
3J42_1	8.36006397827387	-1.03076923076923	1697	5.62461538461538
4M7J_1	3.44701853622632	-0.623076923076923	1592	5.88461538461539
4NKD_1	2.16927678644986	-0.823076923076923	1608	5.86
3CFB_1	2.66656968878751	-0.538461538461538	1719	5.72076923076923
1AD9_1	4.1802300283982	-0.815384615384615	1739	6.13461538461539
